BOM Name,OfbizCode,Item To Produce,Qty,UOM,Type,Raw Mat./By Product,itemQty,Unit,Ofbiz Unit,FromDate
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,1000,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0300,Leaflet for Patanjali Neem Gold 1500ppm,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
NG/1708/06  (0.25Ltr),PB0008,Patanjali Neem Gold 0.25Ltr,21, BOX,PB0053,Empty Bottle 0.25 Liter,840,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0058,Empty CV Box 0.250 Liter,21,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",840,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0066,Label for Patanjali Neem Gold 0.250 Ltr,840,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0099,Neem Technical Liquid 1500 PPM,210,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0100,"Dose Cap for Neem Gold 0.25, 0.5, 1 Ltr",840,Pcs.,UQC_pcs,2019-04-29 17:34:53
PSB 500 ml,PB0009,Patanjali PSB 0.5 LTR,100, BOX,PB0052,Empty Bottle 0.5 Liter,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0057,Empty CV Box 0.5 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0071,Label for Patanjali PSB 0.5 Ltr,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0092,PSB Culture broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
Patanjali PSB 250ml (2018),PB0010,Patanjali PSB 0.25 LTR,100, BOX,PB0053,Empty Bottle 0.25 Liter,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0058,Empty CV Box 0.250 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0072,Label for Patanjali PSB .25 Ltr,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0092,PSB Culture broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,10,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
AZT/1708/01,PB0011,Patanjali Azoto 1 LTR,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0073,Label for Patanjali Azoto 1 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,403.2,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5.04,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0097,Azoto Culture Broth,604.8,Ltr.,UQC_klr,2019-04-29 17:34:53
AZT 500 ml,PB0012,Patanjali Azoto 0.5 LTR,100, BOX,PB0052,Empty Bottle 0.5 Liter,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0057,Empty CV Box 0.5 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0074,Label for Patanjali Azoto  0.5 Ltr,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0097,Azoto Culture Broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
Patanjali Azoto 250ml (2018),PB0013,Patanjali Azoto 0.25 LTR,100, BOX,PB0053,Empty Bottle 0.25 Liter,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0058,Empty CV Box 0.250 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0075,Label for Patanjali Azoto 0.25 Ltr,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,10,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0097,Azoto Culture Broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
RHZ/1708/01,PB0014,Patanjali Rhizo 1 LTR,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0076,Label for Patanjali Rhizobium 1  Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,403.2,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5.04,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0098,Rhizobium Culture Broth,604.8,Ltr.,UQC_klr,2019-04-29 17:34:53
RHZ 500 ml,PB0015,Patanjali Rhizo 0.5 LTR,100, BOX,PB0052,Empty Bottle 0.5 Liter,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0057,Empty CV Box 0.5 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0077,Label for Patanjali Rhizobium  0.5 Ltr,1000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0098,Rhizobium Culture Broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
Patanjali Rhizo 250ml (2018),PB0016,Patanjali Rhizo 0.25 LTR,100, BOX,PB0053,Empty Bottle 0.25 Liter,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0058,Empty CV Box 0.250 Liter,100,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0078,Label for Patanjali Rhizobium 0.25 Ltr,4000,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,400,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,10,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,4.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2.2,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0098,Rhizobium Culture Broth,600,Ltr.,UQC_klr,2019-04-29 17:34:53
Bio Potash 1 LTR,PB0017,Patanjali Bio Potash 1 LTR,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0067,Label for Patanjali Bio Potash  1 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,403.2,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5.04,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0106,KMB Culture Broth,604.8,Ltr.,UQC_klr,2019-04-29 17:34:53
Bio Potash 1 LTR,PB0017,Patanjali Bio Potash 1 LTR,84, BOX,PB0050,Empty Bottle 1 Liter,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0055,Empty CV Box 1 Liter,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0061,"Index for 1.00,0.500,0.250 Liter",1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0067,Label for Patanjali Bio Potash  1 Ltr,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0093,Dilution Media Broth,403.2,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0094,Parafin Liquid,5.04,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0106,KMB Culture Broth,604.8,Ltr.,UQC_klr,2019-04-29 17:34:53
Tricho 01 Kg,PB0019,Patanjali Tricho 1 Kg,107, BOX,PB0043,Talcum Powder,1284,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0060,Empty CV Box 1 Kg,107,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0079,Mono Carton for Patanjali Trico 1 kg,1284,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0102,CARBOXY METHYL CELLULOSE (CMC),12.84,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0109,Premix Nutrient Liquid CHT,6.42,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0112,Trichoderma Culture Broth,64,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0113,Trichoderma Culture Powder,24,Pcs.,UQC_pcs,2019-04-29 17:34:53
Tricho 01 Kg (2018),PB0019,Patanjali Tricho 1 Kg,84, BOX,PB0043,Talcum Powder,1008,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0060,Empty CV Box 1 Kg,84,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0079,Mono Carton for Patanjali Trico 1 kg,1008,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0083,Poly bag for bio Pesticide 1 kg,6,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,3.96,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,2.36,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0102,CARBOXY METHYL CELLULOSE (CMC),10.08,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0112,Trichoderma Culture Broth,50.24,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0113,Trichoderma Culture Powder,18.84,Pcs.,UQC_pcs,2019-04-29 17:34:53
Suraksha Tricho 01 Kg,PB0020,Patanjali Suraksha 1 Kg,107, BOX,PB0043,Talcum Powder,1284,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0060,Empty CV Box 1 Kg,107,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0080,Mono Carton for Patanjali Suraksha  1 kg,1284,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0102,CARBOXY METHYL CELLULOSE (CMC),12.84,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0109,Premix Nutrient Liquid CHT,6.42,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0112,Trichoderma Culture Broth,64,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0113,Trichoderma Culture Powder,24,Pcs.,UQC_pcs,2019-04-29 17:34:53
Fluorescens 01 Kg,PB0021,Patanjali Fluorescens 1 Kg,107, BOX,PB0043,Talcum Powder,1284,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0060,Empty CV Box 1 Kg,107,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0081,Mono Carton for Patanjali Fluoresce 1 kg,1284,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0083,Poly bag for bio Pesticide 1 kg,2.5,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0102,CARBOXY METHYL CELLULOSE (CMC),12.84,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0107,Pseudo Culture Broth,128.4,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0109,Premix Nutrient Liquid CHT,6.42,Ltr.,UQC_klr,2019-04-29 17:34:53
Nemakill 01 Kg,PB0022,Patanjali Nemakill 1 Kg,107, BOX,PB0043,Talcum Powder,1284,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0060,Empty CV Box 1 Kg,107,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0082,Mono Carton for Patanjali Nemakil 1 kg,1284,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0095,Tape Roll PBRI Printed,5,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0096,Tape Cello,3,Pcs.,UQC_pcs,2019-04-29 17:34:53
 ,,,,,PB0102,CARBOXY METHYL CELLULOSE (CMC),12.84,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0109,Premix Nutrient Liquid CHT,6.42,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0110,Verticillium Culture Broth,64,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0111,Verticillium Culture Powder,24,Pcs.,UQC_pcs,2019-04-29 17:34:53
Premix Powder Mixer,PB0085,Premix Nutrient Powder,30,Kgs.,PB0033,Ferrous Sulphate 19%,3,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0034,Manganese Sulphate 30.50%,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0035,Maganisium Sulphate 9.60%,2.5,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0036,Zinc Sulphate 33%,8,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0037,Borax Penta 15%,0.8,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0038,Copper Sulphate,0.1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0039,Fulvic Powder,0.3,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0040,Super Pottasium Humate,3,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0041,Sea Weed Powder,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0042,Sulphur Powder 90%,2,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,8.3,Kgs.,UQC_kgs,2019-04-29 17:34:53
Premix Powder Mixer Modified 01,PB0085,Premix Nutrient Powder,25,Kgs.,PB0033,Ferrous Sulphate 19%,3,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0034,Manganese Sulphate 30.50%,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0035,Maganisium Sulphate 9.60%,2.5,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0036,Zinc Sulphate 33%,4,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0037,Borax Penta 15%,0,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0038,Copper Sulphate,0.1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0039,Fulvic Powder,0.3,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0040,Super Pottasium Humate,3,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0041,Sea Weed Powder,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0042,Sulphur Powder 90%,2,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0086,Food Park Compost,8.3,Kgs.,UQC_kgs,2019-04-29 17:34:53
Compost Converter,PB0086,Food Park Compost,1000,Kgs.,PB0207,"City Compost, Organic Manure",100,Kgs.,UQC_kgs,2019-04-29 17:34:53
PSB Culture Broth,PB0092,PSB Culture broth,1000,Ltr.,PB0130,Water,983.68,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0132,Sodium Cloride (Nacl),0.2,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0134,Yeast Extract Powder-R,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0135,Dextrose (Mono),10,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0136,Tri-Calcium Phosphate,5,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0138,Ammonium Sulfate,0.5,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0170,Ferrous Sulphate LR,0.01,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0175,Manganese Sulphate LR,0.01,Gms.,UQC_gms,2019-04-29 17:34:53
 ,,,,,PB0176,Maganisium Sulphate LR,0.1,Kgs.,UQC_kgs,2019-04-29 17:34:53
Dilution Broth,PB0093,Dilution Media Broth,1000,Ltr.,PB0102,CARBOXY METHYL CELLULOSE (CMC),1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0126,Poly Vinyl Pyrrolidone (PVP),5,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0127,Gum Acacia Powder,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0128,Sodium Lauryl Sulfate (SLS),1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0129,Glycerol,2.5,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0130,Water,989.5,Ltr.,UQC_klr,2019-04-29 17:34:53
Azotobactor Culture Broth,PB0097,Azoto Culture Broth,1000,Ltr.,PB0130,Water,975.9,Ltr.,UQC_klr,2019-04-29 17:34:53
 ,,,,,PB0132,Sodium Cloride (Nacl),0.5,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0133,Di-Potassium Hydrogen Ortho-Phosphate,1,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0153,Sucrose,20,Kgs.,UQC_kgs,2019-04-29 17:34:53
 ,,,,,PB0170,Ferrous Sulphate LR,0.1,Kgs.,UQC_kgs,2019-04-29 17:34:53
